"","MasterID","INCI_ID","ArrestID","WEAPON_CATEGORY","CrimeType","CrimeCategory","WARD","ArrestDate","ArrestCharge","shot"
"1","M000001",2201010205,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"2","M000002",2201020113,NA,"FIREARM","Public Assist","Assist",3,NA,NA,FALSE
"3","M000003",2201030020,NA,"FIREARM","Agg. Assault","Violent",5,NA,NA,FALSE
"4","M000004",2201020064,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"5","M000005",2201020064,NA,"FIREARM","Weapons Violation","Violation",4,NA,NA,FALSE
"6","M000006",2201040208,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"7","M000007",2201090077,NA,"FIREARM","Other Felony/Misdemeanor","Violent",5,NA,NA,FALSE
"8","M000008",2201090077,NA,"FIREARM","Other Felony/Misdemeanor","Violent",5,NA,NA,FALSE
"9","M000009",2201040005,NA,"FIREARM","Suspicious Activity","Quality of Life",3,NA,NA,FALSE
"10","M000010",2201010080,NA,"FIREARM","Robbery","Violent",6,NA,NA,FALSE
"11","M000011",2201010080,NA,"FIREARM","Robbery","Violent",6,NA,NA,FALSE
"12","M000012",2201010080,NA,"FIREARM","Robbery","Violent",6,NA,NA,FALSE
"13","M000013",2201100195,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"14","M000014",2201100134,NA,"FIREARM","Weapons Violation","Violation",2,NA,NA,FALSE
"15","M000009",2201030228,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"16","M000015",2201050212,NA,"FIREARM","Robbery","Violent",4,NA,NA,TRUE
"17","M000016",2201050212,NA,"FIREARM","Robbery","Violent",4,NA,NA,FALSE
"18","M000017",2201050212,NA,"FIREARM","Robbery","Violent",4,NA,NA,FALSE
"19","M000018",2201130043,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"20","M000019",2201130043,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"21","M000020",2201130043,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"22","M000009",2201130194,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,TRUE
"23","M000021",2201130194,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,FALSE
"24","M000022",2201130194,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,TRUE
"25","M000023",2201010148,NA,"FIREARM","Agg. Assault","Violent",3,NA,NA,TRUE
"26","M000008",2201150145,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"27","M000024",2201090004,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,FALSE
"28","M000025",2201090004,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,FALSE
"29","M000026",2201090130,NA,"FIREARM","Weapons Violation","Violation",5,NA,NA,FALSE
"30","M000027",2201150115,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"31","M000028",2201120123,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"32","M000029",2201140074,NA,"FIREARM","Agg. Assault","Violent",6,NA,NA,FALSE
"33","M000025",2201120130,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"34","M000030",2201120130,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"35","M000031",2201120130,NA,"FIREARM","Agg. Assault","Violent",2,NA,NA,FALSE
"36","M000032",2201140112,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"37","M000033",2201140112,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"38","M000034",2201120147,NA,"FIREARM","Robbery","Violent",1,NA,NA,FALSE
"39","M000029",2201140051,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"40","M000035",2201140051,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"41","M000036",2201140051,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"42","M000020",2201140088,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"43","M000037",2201140088,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"44","M000038",2201140088,NA,"FIREARM","Robbery","Violent",3,NA,NA,FALSE
"45","M000038",2201070139,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"46","M000039",2201070139,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"47","M000040",2201190165,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"48","M000021",2201060222,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,TRUE
"49","M000041",2201060222,NA,"FIREARM","Weapons Violation","Violation",1,NA,NA,TRUE
"50","M000004",2201200109,NA,"FIREARM","Agg. Assault","Violent",1,NA,NA,FALSE
"51","M000042",2201100004,NA,"FIREARM","Agg. Assault","Violent",NA,NA,NA,FALSE
"52","M000043",2201100004,NA,"FIREARM","Agg. Assault","Violent",NA,NA,NA,FALSE
