from,to,numIncidents,arrested,ward,arrestDate
M000082,M000096,2,FALSE,6,NA
M000082,M000095,2,FALSE,6,NA
M000096,M000095,2,FALSE,2,NA
M000011,M000013,3,FALSE,3,NA
M000011,M000014,3,FALSE,3,NA
M000013,M000014,4,FALSE,6,NA
M000028,M000029,1,FALSE,3,NA
M000028,M000030,1,FALSE,3,NA
M000029,M000030,2,FALSE,3,NA
M000068,M000069,1,FALSE,5,NA
M000068,M000070,1,FALSE,5,NA
M000069,M000070,1,FALSE,5,NA
M000005,M000006,3,FALSE,4,NA
M000099,M000246,3,FALSE,3,NA
M000001,M000002,5,FALSE,3,NA
M000002,M000064,2,FALSE,3,NA
M000002,M000065,2,FALSE,3,NA
M000064,M000065,2,FALSE,1,NA
M000148,M000149,1,FALSE,6,NA
M000148,M000150,1,FALSE,6,NA
M000149,M000150,2,FALSE,6,NA
M000003,M000004,3,FALSE,5,NA
M000793,M000794,2,FALSE,1,NA
M000793,M000795,2,FALSE,1,NA
M000794,M000795,1,FALSE,NA,NA
M000265,M000266,2,FALSE,2,NA
M000010,M000011,2,FALSE,3,NA
M000010,M000012,2,FALSE,3,NA
M000011,M000012,3,FALSE,3,NA
M000422,M000423,1,FALSE,1,NA
M000004,M000007,4,FALSE,5,NA
M000004,M000006,4,FALSE,5,NA
M000007,M000006,3,FALSE,1,NA
M000910,M000911,3,TRUE,2,NA
M000910,M000912,3,TRUE,2,NA
M000911,M000912,1,FALSE,2,NA
M000123,M000124,1,FALSE,6,NA
M000346,M000347,2,FALSE,5,NA
M000019,M000020,1,FALSE,4,NA
M000019,M000021,1,FALSE,4,NA
M000020,M000021,1,FALSE,4,NA
M000030,M000114,3,FALSE,3,NA
M000034,M000053,2,FALSE,5,NA
M000034,M000052,2,FALSE,5,NA
M000053,M000052,3,FALSE,1,NA
M000101,M000102,1,FALSE,1,NA
M000003,M000063,3,FALSE,5,NA
M000052,M000037,5,FALSE,1,NA
M000052,M000074,5,FALSE,1,NA
M000037,M000074,3,FALSE,6,NA
M000078,M000079,2,FALSE,2,NA
M000050,M000051,3,FALSE,3,NA
M000200,M000203,2,FALSE,3,NA
M000012,M000061,4,FALSE,3,NA
M000012,M000062,4,FALSE,3,NA
M000061,M000062,2,FALSE,2,NA
M000007,M000008,3,FALSE,1,NA
M000007,M000009,3,FALSE,1,NA
M000008,M000009,1,FALSE,5,NA
M000033,M000034,1,FALSE,5,NA
M000033,M000035,1,FALSE,5,NA
M000034,M000035,2,FALSE,5,NA
M000308,M000309,2,FALSE,6,NA
M000308,M000310,2,FALSE,6,NA
M000309,M000310,2,FALSE,6,NA
M000001,M000012,5,FALSE,3,NA
M000001,M000017,5,FALSE,3,NA
M000012,M000017,4,FALSE,3,NA
M000131,M000300,3,FALSE,3,NA
M000131,M000301,3,FALSE,3,NA
M000300,M000301,4,FALSE,4,NA
M000005,M000015,3,FALSE,4,NA
M000005,M000016,3,FALSE,4,NA
M000015,M000016,1,FALSE,3,NA
M000678,M000679,3,FALSE,5,NA
M000678,M000680,3,FALSE,5,NA
M000679,M000680,1,FALSE,3,NA
M000038,M000039,5,FALSE,6,NA
M000038,M000040,5,FALSE,6,NA
M000039,M000040,3,FALSE,6,NA
M000172,M000173,1,FALSE,6,NA
M000172,M000174,1,FALSE,6,NA
M000173,M000174,1,FALSE,6,NA
M000042,M000043,1,FALSE,2,NA
M000091,M000092,2,FALSE,3,NA
M000091,M000093,2,FALSE,3,NA
M000092,M000093,2,FALSE,3,NA
M000022,M000046,2,FALSE,2,NA
M000022,M000047,2,FALSE,2,NA
M000046,M000047,1,FALSE,1,NA
M000039,M000072,3,FALSE,6,NA
M000039,M000073,3,FALSE,6,NA
M000072,M000073,1,FALSE,1,NA
M000128,M000129,2,FALSE,5,NA
M000128,M000130,2,FALSE,5,NA
M000129,M000130,2,TRUE,5,NA
M000819,M000820,1,FALSE,5,NA
M000819,M000821,1,FALSE,5,NA
M000820,M000821,1,FALSE,5,NA
M000022,M000023,2,FALSE,2,NA
M000022,M000024,2,FALSE,2,NA
M000023,M000024,4,FALSE,2,NA
M000126,M000901,3,FALSE,3,NA
M000126,M000900,3,FALSE,3,NA
M000901,M000900,3,FALSE,6,NA
M000025,M000026,3,FALSE,3,NA
M000025,M000027,3,FALSE,3,NA
M000026,M000027,2,FALSE,3,NA
M000159,M000567,2,FALSE,4,NA
M000159,M000595,2,FALSE,4,NA
M000567,M000595,3,FALSE,5,NA
M000048,M000049,2,FALSE,3,NA
M000085,M000086,1,FALSE,1,NA
M000085,M000087,1,FALSE,1,NA
M000086,M000087,1,FALSE,1,NA
M000025,M000050,3,FALSE,3,NA
M000025,M000049,3,FALSE,3,NA
M000050,M000049,3,FALSE,3,NA
M000041,M000044,3,FALSE,6,NA
M000041,M000045,3,FALSE,6,NA
M000044,M000045,1,FALSE,1,NA
M000012,M000071,4,FALSE,3,NA
M000036,M000037,1,FALSE,6,NA
M000018,M000031,3,FALSE,3,NA
M000364,M000126,3,FALSE,5,NA
M000364,M000463,3,FALSE,5,NA
M000364,M000462,3,FALSE,5,NA
M000126,M000463,3,FALSE,3,NA
M000126,M000462,3,FALSE,3,NA
M000463,M000462,3,FALSE,5,NA
M000089,M000090,1,FALSE,6,NA
M000824,M000825,1,FALSE,3,NA
M000824,M000826,1,FALSE,3,NA
M000825,M000826,2,FALSE,3,NA
M000262,M000263,1,FALSE,3,NA
M000262,M000264,1,FALSE,3,NA
M000263,M000264,1,FALSE,3,NA
M000013,M000066,4,FALSE,6,NA
M000105,M000106,1,FALSE,5,NA
M000105,M000107,1,FALSE,5,NA
M000106,M000107,2,FALSE,5,NA
M000061,M000245,2,FALSE,2,NA
M000061,M000244,2,FALSE,2,NA
M000245,M000244,2,FALSE,6,NA
M000049,M000067,4,FALSE,3,NA
M000144,M000153,2,FALSE,3,NA
M000144,M000154,2,FALSE,3,NA
M000153,M000154,2,FALSE,5,NA
M000711,M000712,2,FALSE,1,NA
M000711,M000713,2,FALSE,1,NA
M000712,M000713,1,FALSE,3,NA
M000029,M000166,2,FALSE,3,NA
M000029,M000165,2,FALSE,3,NA
M000166,M000165,2,FALSE,5,NA
M000083,M000084,2,FALSE,1,NA
M000611,M000680,3,FALSE,3,NA
M000611,M000786,3,FALSE,3,NA
M000680,M000786,2,FALSE,3,NA
M000058,M000059,2,FALSE,1,NA
M000058,M000060,2,FALSE,1,NA
M000059,M000060,1,FALSE,1,NA
M000264,M000392,3,FALSE,3,NA
M000264,M000391,3,FALSE,3,NA
M000392,M000391,4,TRUE,6,NA
M000004,M000052,4,FALSE,5,NA
M000852,M000853,1,FALSE,4,NA
M000500,M000501,1,FALSE,2,NA
M000055,M000056,3,TRUE,3,NA
M000051,M000088,2,FALSE,1,NA
M000389,M000390,1,FALSE,3,NA
M000389,M000391,1,FALSE,3,NA
M000390,M000391,1,FALSE,3,NA
M000682,M000902,2,FALSE,2,NA
M000682,M000903,2,FALSE,2,NA
M000902,M000903,2,FALSE,3,NA
M000075,M000108,2,FALSE,1,NA
M000217,M000276,2,FALSE,4,NA
M000217,M000277,2,FALSE,4,NA
M000276,M000277,1,FALSE,5,NA
M000094,M000095,2,FALSE,1,NA
M000143,M000144,2,FALSE,3,NA
M000143,M000145,2,FALSE,3,NA
M000144,M000145,2,FALSE,3,NA
M000045,M000116,3,FALSE,1,NA
M000830,M000901,2,FALSE,4,NA
M000830,M000900,2,FALSE,4,NA
M000081,M000082,1,FALSE,6,NA
M000075,M000076,2,FALSE,1,NA
M000131,M000132,3,FALSE,3,NA
M000257,M000258,1,FALSE,4,NA
M000257,M000259,1,FALSE,4,NA
M000258,M000259,1,FALSE,4,NA
M000032,M000302,2,FALSE,1,NA
M000032,M000301,2,FALSE,1,NA
M000302,M000301,2,FALSE,5,NA
M000073,M000230,3,FALSE,1,NA
M000040,M000177,2,FALSE,6,NA
M000040,M000178,2,FALSE,6,NA
M000177,M000178,2,FALSE,1,NA
M000133,M000134,1,FALSE,3,NA
M000742,M000743,1,FALSE,1,NA
M000177,M000222,2,FALSE,1,NA
M000189,M000190,1,FALSE,5,NA
M000419,M000420,1,FALSE,3,NA
M000419,M000421,1,FALSE,3,NA
M000420,M000421,2,FALSE,3,NA
M000340,M000341,2,TRUE,1,NA
M000191,M000192,1,FALSE,5,NA
M000191,M000193,1,FALSE,5,NA
M000192,M000193,2,FALSE,5,NA
M000094,M000227,2,FALSE,1,NA
M000094,M000228,2,FALSE,1,NA
M000227,M000228,1,FALSE,5,NA
M000155,M000156,1,FALSE,4,NA
M000155,M000157,1,FALSE,4,NA
M000156,M000157,1,FALSE,4,NA
M000111,M000112,3,FALSE,5,NA
M000234,M000385,2,FALSE,3,NA
M000096,M000097,2,FALSE,2,NA
M000064,M000175,2,FALSE,1,NA
M000064,M000176,2,FALSE,1,NA
M000175,M000176,3,FALSE,1,NA
M000858,M000859,1,FALSE,1,NA
M000858,M000860,1,FALSE,1,NA
M000859,M000860,1,FALSE,1,NA
M000151,M000152,1,FALSE,1,NA
M000013,M000185,4,FALSE,6,NA
M000013,M000186,4,FALSE,6,NA
M000185,M000186,1,FALSE,1,NA
M000098,M000099,2,FALSE,3,NA
M000098,M000100,2,FALSE,3,NA
M000099,M000100,3,FALSE,3,NA
M000696,M000697,1,FALSE,2,NA
M000041,M000225,3,FALSE,6,NA
M000041,M000226,3,FALSE,6,NA
M000225,M000226,2,FALSE,5,NA
M000013,M000125,4,FALSE,6,NA
M000013,M000126,4,FALSE,6,NA
M000125,M000126,2,FALSE,3,NA
M000214,M000215,1,FALSE,5,NA
M000214,M000216,1,FALSE,5,NA
M000215,M000216,1,FALSE,5,NA
M000195,M000196,1,FALSE,5,NA
M000298,M000371,2,FALSE,5,NA
M000298,M000372,2,FALSE,5,NA
M000371,M000372,1,FALSE,6,NA
M000052,M000103,5,FALSE,1,NA
M000135,M000136,1,FALSE,1,NA
M000135,M000137,1,FALSE,1,NA
M000136,M000137,2,FALSE,1,NA
M000063,M000052,3,FALSE,1,NA
M000063,M000109,3,FALSE,1,NA
M000052,M000109,5,FALSE,1,NA
M000063,M000122,3,FALSE,1,NA
M000067,M000158,2,FALSE,3,NA
M000067,M000159,2,FALSE,3,NA
M000158,M000159,1,FALSE,4,NA
M000194,M000205,3,FALSE,3,NA
M000194,M000206,3,FALSE,3,NA
M000205,M000206,1,FALSE,1,NA
M000585,M000586,2,FALSE,6,NA
M000585,M000587,2,FALSE,6,NA
M000586,M000587,1,FALSE,6,NA
M000348,M000616,2,FALSE,5,NA
M000348,M000617,2,FALSE,5,NA
M000616,M000617,1,FALSE,1,NA
M000054,M000117,3,FALSE,NA,NA
M000054,M000116,3,FALSE,NA,NA
M000117,M000116,3,FALSE,2,NA
M000179,M000735,2,FALSE,3,NA
M000332,M000333,2,FALSE,3,NA
M000332,M000334,2,FALSE,3,NA
M000333,M000334,2,FALSE,4,NA
M000146,M000147,2,FALSE,4,NA
M000879,M000880,1,FALSE,6,NA
M000879,M000881,1,FALSE,6,NA
M000880,M000881,2,FALSE,6,NA
M000049,M000412,4,FALSE,3,NA
M000049,M000411,4,FALSE,3,NA
M000412,M000411,2,FALSE,3,NA
M000117,M000118,3,FALSE,2,NA
M000117,M000119,3,FALSE,2,NA
M000118,M000119,1,FALSE,3,NA
M000120,M000121,2,FALSE,6,NA
M000045,M000353,3,FALSE,1,NA
M000400,M000401,3,TRUE,5,NA
M000400,M000402,3,TRUE,5,NA
M000401,M000402,1,FALSE,3,NA
M000273,M000274,1,FALSE,4,NA
M000298,M000299,2,FALSE,5,NA
M000104,M000300,4,FALSE,2,NA
M000104,M000299,4,FALSE,2,NA
M000300,M000299,4,FALSE,4,NA
M000031,M000296,2,FALSE,2,NA
M000031,M000297,2,FALSE,2,NA
M000296,M000297,1,FALSE,4,NA
M000315,M000348,2,FALSE,2,NA
M000315,M000349,2,FALSE,2,NA
M000348,M000349,2,FALSE,5,NA
M000650,M000801,2,FALSE,2,NA
M000813,M000814,1,FALSE,5,NA
M000813,M000815,1,FALSE,5,NA
M000814,M000815,1,FALSE,5,NA
