"","INCI_ID","WARD","UCRsummary","STATUTDESC","WEAPON1DESC","WEAPON2DESC","WEAPON_CATEGORY","Crime","CrimeType","CrimeCategory","DATE_REPT","ArrestID","ArrestDate","ArrestCharge","ArrestChargeDescription","Severity","Age","AgeGroup","ArresteeSex","ArresteeRace","ArresteeEthnicity"
"1","2201010205  ",3,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2201020113  ",3,53,"PUBLIC ASSIST/OTHER","HANDGUN","","FIREARM","Other","Public Assist","Assist","2022/01/02 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2201030020  ",5,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/03 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2201020064  ",4,15,"WEAPONS/OTHER","HANDGUN","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/02 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2201040208  ",1,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/04 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2201090077  ",5,26,"OTHER OFFENSES/OTHER FELONIES","HANDGUN","","FIREARM","Part 2","Other Felony/Misdemeanor","Violent","2022/01/09 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2201040005  ",3,56,"SUSPICIOUS ACTIVITY/OTHER","OTHER FIREARM","","FIREARM","Other","Suspicious Activity","Quality of Life","2022/01/04 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2201010080  ",6,3,"ROBBERY/CONVENIENCE STORE","HANDGUN","","FIREARM","Part 1","Robbery","Violent","2022/01/01 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2201100195  ",3,4,"ASSAULT, AGGRAVATED/OTHER","HANDGUN","","FIREARM","Part 1","Agg. Assault","Violent","2022/01/10 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2201100134  ",2,15,"WEAPONS/OTHER","OTHER FIREARM","","FIREARM","Part 2","Weapons Violation","Violation","2022/01/10 00:00:00+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
